"";"Fechas";"DriveIDs";"idTemp$name"
"118";2010-05-01;"1vwEK4FctlVDHbyrNQHzg080a15jVw4G5";"Temperaturas2010-05-01.tif"
"119";2010-04-01;"1EmnhV7ObmIyMAb0VfTr3SyvdBZKeJoTs";"Temperaturas2010-04-01.tif"
"120";2010-03-01;"1JwOqmD5_4Yarpmonsi2p-0iC2_Jtlk5i";"Temperaturas2010-03-01.tif"
"121";2010-02-01;"1DGldqhadU0VM9bBDgGtBAmLqsThq-Vi6";"Temperaturas2010-02-01.tif"
"122";2010-01-01;"1yCFX2YAKYn51fczOybMqUUhBOlxVykZX";"Temperaturas2010-01-01.tif"
"123";2009-12-01;"1w2aJ2FG9QBoM4bkNN2WdIZiMi7-mGXXy";"Temperaturas2009-12-01.tif"
"124";2009-11-01;"1uou_YvHsdohnqYL0T_IRz3BWV7ELVMHt";"Temperaturas2009-11-01.tif"
"125";2009-10-01;"1b3nE-Tal0uXCfUdHFb-KXRTQ8NyOgJsF";"Temperaturas2009-10-01.tif"
"126";2009-09-01;"12TTm9LFPz_stNq4CeiVLBhBWWofb9hNm";"Temperaturas2009-09-01.tif"
"127";2009-08-01;"1rfFVn_M7oh2H18FMvpn2c9hRvo-YLa3n";"Temperaturas2009-08-01.tif"
"128";2009-07-01;"1wA6ng6z88-ltdPJZFXwJ2ncVkN9MgHJJ";"Temperaturas2009-07-01.tif"
"129";2009-06-01;"1biI4uRT6an7LCVz2k1vVl_TMWC2wU0Ni";"Temperaturas2009-06-01.tif"
"130";2009-05-01;"1cwf3MsYVSTtjQ3JzBmkPgSL8kQnSp4ZF";"Temperaturas2009-05-01.tif"
"131";2009-04-01;"1nittZ72GMqkcGEW6EKtIG1upsFjwed6q";"Temperaturas2009-04-01.tif"
"132";2009-03-01;"1ya_5y5IpF79WRK07dcf-iNtwwQrcBnfg";"Temperaturas2009-03-01.tif"
"133";2009-02-01;"1ergnjc1DuzQYGhpHNJqECSblh4c2z824";"Temperaturas2009-02-01.tif"
"134";2009-01-01;"1bU3RkPO_E0gjOEvYrBkEMqH9_-SoMi_X";"Temperaturas2009-01-01.tif"
"135";2008-12-01;"1zNbstvQu5sAyuaA3fk6UlVLB1gLtrQcT";"Temperaturas2008-12-01.tif"
"136";2008-11-01;"18H_SFQj9JnhJFnHcEkNhNpjzFGZiOH1S";"Temperaturas2008-11-01.tif"
"137";2008-10-01;"13EpEMwaS_-IH3KnzQwMHAR-fw-nrJksj";"Temperaturas2008-10-01.tif"
"138";2008-09-01;"1cVbwEt0vmbZp_8rDq07SJBG_HnSlVUQU";"Temperaturas2008-09-01.tif"
"139";2008-08-01;"1HtiawDGJZcqrbxXqbpO56BqgKtkR0WAJ";"Temperaturas2008-08-01.tif"
"140";2008-07-01;"1HhYoXr8iU1RSJwIDkmF9vsuXp-6idJJ_";"Temperaturas2008-07-01.tif"
"141";2008-06-01;"1kcsOgeLOQGvysNXb7BK8MVP-2VQfvjYD";"Temperaturas2008-06-01.tif"
"142";2008-05-01;"1gSQ2hHcKqsFcqrj8M9wZrnLgLBMTeRps";"Temperaturas2008-05-01.tif"
"143";2008-04-01;"1ZretZuL6vavUDCRh2yknDXnpxVYvImJP";"Temperaturas2008-04-01.tif"
"144";2008-03-01;"1QYoSEp15FUvWINoV5jBbJxrMgczkZk5a";"Temperaturas2008-03-01.tif"
"145";2008-02-01;"1pWup3aS_o9vW67vS2VNmKt4FltNC9O25";"Temperaturas2008-02-01.tif"
"146";2008-01-01;"1AyKiSttTEYwX8KkW4OdHukEzNtj660kK";"Temperaturas2008-01-01.tif"
"147";2007-12-01;"16WN9ajmbw7-jaDv_JewjRUAaiToacmdk";"Temperaturas2007-12-01.tif"
"148";2007-11-01;"1aH29JqC0_EIoB24BK2LUIi8DhBvQRaW8";"Temperaturas2007-11-01.tif"
"149";2007-10-01;"1aW9lEzhoOzxUdhLdhh5IZRuthU1__lj_";"Temperaturas2007-10-01.tif"
"150";2007-09-01;"1Vbc9J5dVUHO3VMnJzBYrrIZ_T4kBc6lK";"Temperaturas2007-09-01.tif"
"151";2007-08-01;"1uZpL6f0S6ocVLRVmHYCO8bCzt9nOQhZB";"Temperaturas2007-08-01.tif"
"152";2007-07-01;"1Eqh52j539bIUPV8ci4hqSy3me0OE0FkZ";"Temperaturas2007-07-01.tif"
"153";2007-06-01;"1KIY78noKNs-k9O9ikCWe_G1xQcZlcEqt";"Temperaturas2007-06-01.tif"
"154";2007-05-01;"1lor7O-6NzDsB1VuoMO945YPe6RL9XY35";"Temperaturas2007-05-01.tif"
"155";2007-04-01;"1CosL94Ef0iMzy2NM1A2yce1943In-WkX";"Temperaturas2007-04-01.tif"
"156";2007-03-01;"1eU_iTvRCodbdcNiB98yuqVc6Z1NDee7m";"Temperaturas2007-03-01.tif"
"157";2007-02-01;"1lvcpTqEc6Hr0wQFBpzFeo5u7uQUu6gkS";"Temperaturas2007-02-01.tif"
"158";2007-01-01;"16MhrFHpiVekLThQ2Wue3F7lF6v61x_9l";"Temperaturas2007-01-01.tif"
"159";2006-12-01;"1mCfpw7lcCwTd4IAz4ilENrM5nln1qWqk";"Temperaturas2006-12-01.tif"
"160";2006-11-01;"1dFvC4CyhyUs4l1S2JRlWWz-harZqlEpC";"Temperaturas2006-11-01.tif"
"161";2006-10-01;"19rzuXQARIKhNXmGgFrhq-EPnOgG3Esxm";"Temperaturas2006-10-01.tif"
"162";2006-09-01;"14nstx4EyWXLViqR4_xEqKn3jlmwqcmsb";"Temperaturas2006-09-01.tif"
"163";2006-08-01;"1iq9ef7PspYdpE_N1F9o2-AeIhGPKlGMg";"Temperaturas2006-08-01.tif"
"164";2006-07-01;"14EJ_dWhZckiAbFeciGbVJffBcH76N0SO";"Temperaturas2006-07-01.tif"
